AppNum,Handle,AddrNum,AddrSuf,StDir,StName,StType,UnitNum,MainStrucType,IssueDate,EstProjectCost,AppDescription
523229,12627000240,4143,-45R,NA,NEBRASKA,AV,NA,23,7/10/2015 0:00:00,$500.00,WRECK 2 CAR FRAME GARAGE
523239,15621000390,4855,-57,NA,NATURAL BRIDGE,AV,NA,2,8/26/2015 0:00:00,$7000.00,WRECK 4 FAMILY 2 STORY BRICK RESIDENCE
523244,11181050050,1516,-18,NA,DESTREHAN,ST,NA,1,8/7/2015 0:00:00,$5000.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE
523276,12781050050,6208,-R,NA,CLAYTON,AV,NA,23,7/14/2015 0:00:00,$500.00,WRECK 1 CAR FRAME GARAGE
523301,12768000110,4663,-R,NA,TENNESSEE,AV,NA,23,7/15/2015 0:00:00,$200.00,WRECK 2 CAR WOOD GARAGE
523323,14426030070,4264,-66,NA,LEE,AV,NA,2,8/5/2015 0:00:00,$4000.00,WRECK 2 STORY 4 FAMILY BRICK BUILDING
523341,14607060100,6708,R,NA,PLATEAU,AV,NA,23,7/16/2015 0:00:00,$800.00,HAND WRECK FRAME GARAGE
523353,12773000072,4722,NA,NA,TENNESSEE,AV,NA,1,8/28/2015 0:00:00,$13400.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE
523354,14782000325,601,-15,S,TAYLOR,AV,NA,20,8/26/2015 0:00:00,$56800.00,WRECK COMMERCIAL BUILDING    (ANNEX BUILDING)
523360,11658000210,3659,NA,NA,ILLINOIS,AV,NA,1,8/14/2015 0:00:00,$6800.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE
523361,10271000030,922,NA,N,13TH,ST,NA,20,8/4/2015 0:00:00,$23500.00,WRECK COMMERCIAL BUILDING  (COLE SUBSTATION)
523437,12809000050,5042,R,NA,LOUISIANA,AV,NA,1,7/21/2015 0:00:00,$800.00,WRECK TWO FRAME GARAGE
523439,15988000170,5969,-R,NA,ARSENAL,ST,NA,23,7/21/2015 0:00:00,$1000.00,WRECK 1 CAR FRAME GARAGE
523465,16038000060,5042,-R,NA,CHIPPEWA,ST,NA,23,7/22/2015 0:00:00,$500.00,WRECK 2 CAR FRAME GARAGE
523467,13272050210,3715,NA,NA,FRENCH,AV,NA,1,9/3/2015 0:00:00,$6300.00,(CITY PKG 92-FY15)WRECK 1 STORY SINGLE FAMILY FRAME HOUSE
523474,14138000310,3937,-R,NA,FAIRVIEW,AV,NA,23,7/22/2015 0:00:00,$500.00,WRECK 2 CAR FRAME GARAGE
523482,16258000140,5716,R,NA,PERNOD,AV,NA,1,7/22/2015 0:00:00,$1000.00,WRECK 1 CAR FRAME GARAGE
523492,12417000110,4107,NA,N,20TH,ST,NA,1,8/7/2015 0:00:00,$2600.00,WRECK 3 STORY 2 FAMILY BRICK HOUSE (PKG 1-FY16)
523493,12417000100,4109,NA,N,20TH,ST,NA,1,8/7/2015 0:00:00,$2300.00,WRECK 3 STORY 2 FAMILY BRICK HOUSE (PKG 1-FY16)
523495,12730000230,4400,-04,S,GRAND,BLVD,NA,2,9/22/2015 0:00:00,$2650.00,WRECK 2 STORY 4 FAMILY BRICK HOUSE  (PKG 2-FY16)
523497,15254000140,5555,NA,NA,MAFFITT,AV,NA,1,8/14/2015 0:00:00,$4000.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE  (PKG 3-FY16)
523498,13555020050,4616,NA,NA,CARRIE,AV,NA,1,8/14/2015 0:00:00,$4000.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 3-FY16)
523499,13537000090,2020,NA,NA,ALICE,AV,NA,1,8/5/2015 0:00:00,$3200.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE  (PKG 4-FY16)
523500,13537000080,2024,NA,NA,ALICE,AV,NA,1,8/6/2015 0:00:00,$3200.00,WRECK 2 STORY 1 FAMILY BRICK HOUSE (PKG 4-FY16)
