AppNum,Handle,AddrNum,AddrSuf,StDir,StName,StType,UnitNum,MainStrucType,IssueDate,EstProjectCost,AppDescription
504410,11155000100,1500,-12,NA,BRANCH,ST,NA,2,5/2/2016 0:00:00,$100.00,WRECK 2 STORY MULTIFAMILY BRICK HOUSE
517560,14628060130,6905,NA,NA,MANCHESTER,AV,NA,6,2/4/2016 0:00:00,$200.00,HAND WRECK COMMERCIAL PAGODA
524456,15071000230,3926,NA,NA,RANDALL,ST,NA,1,1/29/2016 0:00:00,$11575.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE
524783,13566000040,4128,NA,W,GREEN LEA,PL,NA,1,5/19/2016 0:00:00,$0.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE
525428,13353000010,4304,-06,NA,DESOTO,AV,NA,1,1/26/2016 0:00:00,$6000.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE
525510,12575000040,3934,NA,NA,LOUISIANA,AV,NA,1,6/24/2016 0:00:00,$4800.00,WRECK 2 STORY SINGLE FAMILY BRICK HOUSE
525566,15321000210,4968,NA,NA,THRUSH,AV,NA,1,2/18/2016 0:00:00,$7300.00,WRECK 1 STORY 1 FAMILY FRAME HOUSE (PKG 44-FY16)
525567,15531000110,5242,NA,NA,GENEVIEVE,AV,NA,1,1/19/2016 0:00:00,$8500.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 44-FY16)
525569,15672010450,4737,NA,NA,GENEVIEVE,AV,NA,1,4/19/2016 0:00:00,$9000.00,WRECK 1.5 STORY 1 FAMILY FRAME HOUSE (PKG 44-FY16)
525925,14251000170,1017,NA,NA,TILLIE,AV,NA,1,3/2/2016 0:00:00,$5000.00,WRECK 1 STORY SINGLE FAMILY BRICK HOUSE
525927,14251000180,1019,NA,NA,TILLIE,AV,NA,1,3/2/2016 0:00:00,$5000.00,WRECK 1 STORY SINGLE FAMILY BRICK HOUSE
525967,13816100050,1326,NA,NA,SHAWMUT,PL,NA,1,1/27/2016 0:00:00,$6500.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE
526209,13633000180,3867,-69,NA,GARFIELD,AV,NA,20,4/18/2016 0:00:00,$5000.00,WRECK 2 STORY COMMERCIAL BRICK BLDG
526260,15414000310,5249,NA,NA,GILMORE,AV,NA,1,2/10/2016 0:00:00,$8900.00,WRECK 1.5 STORY SINGLE FAMILY FRAME HOUSE
526496,14497040110,5237,NA,NA,ST LOUIS,AV,NA,1,1/5/2016 0:00:00,$15500.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE
526547,12723000180,4541,NA,NA,MICHIGAN,AV,NA,1,2/17/2016 0:00:00,$4000.00,WRECK 1 STORY 1 FAMILY BRICK HOUSE (PKG 51-FY 16)
526548,11667050180,3657,-59,NA,MARINE,AV,NA,1,2/17/2016 0:00:00,$3500.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 51-FY 16)
526549,11657000220,2112,NA,NA,CHIPPEWA,ST,NA,1,1/25/2016 0:00:00,$4450.00,WRECK 2 STORY 2 FAMILY BRICK HOUSE (PKG 52-FY16)
526550,14180000110,3727,NA,NA,CHIPPEWA,ST,NA,23,1/25/2016 0:00:00,$4110.00,WRECK FRAME GARAGE ONLY(PKG-52 FY 16)
526554,11129000130,1309,NA,NA,SULLIVAN,AV,NA,20,1/29/2016 0:00:00,$12900.00,WRECK 2 STORY BRICK BUILDING  (PKG 53-FY16)
